Players,POS.,CAP HIT,TEAM
Jimmy Garoppolo,QB,"$19,350,000",SF19
Joe Staley,LT,"$14,700,000",SF19
Dee Ford,DE,"$14,600,000",SF19
Richard Sherman,CB,"$9,800,000",SF19
Arik Armstead,DE,"$9,046,000",SF19
Solomon Thomas,DE,"$7,678,465",SF19
Nick Bosa,DE,"$6,100,339",SF19
Emmanuel Sanders,WR,"$5,970,588",SF19
Kyle Juszczyk,FB,"$5,950,000",SF19
DeForest Buckner,DT,"$5,788,044",SF19
Jaquiski Tartt,SS,"$4,850,000",SF19
Mike McGlinchey,RT,"$4,168,580",SF19
Robbie Gould,K,"$3,900,000",SF19
Jimmie Ward,FS,"$3,843,750",SF19
Laken Tomlinson,G,"$3,750,000",SF19
Tevin Coleman,RB,"$3,600,000",SF19
Michael Person,G,"$2,750,000",SF19
Garrett Celek,TE,"$2,703,125",SF19
K'Waun Williams,CB,"$2,568,750",SF19
Raheem Mostert,RB,"$1,895,833",SF19
Mark Nzeocha,OLB,"$1,650,000",SF19
Dante Pettis,WR,"$1,454,671",SF19
Deebo Samuel,WR,"$1,399,519",SF19
Ahkello Witherspoon,CB,"$1,058,768",SF19
Kyle Nelson,LS,"$1,051,764",SF19
C.J. Beathard,QB,"$962,358",SF19
Fred Warner,OLB,"$915,684",SF19
Tarvarius Moore,FS,"$799,093",SF19
Sheldon Day,DT,"$720,000",SF19
George Kittle,TE,"$719,571",SF19
Mitch Wishnowsky,P,"$686,018",SF19
D.J. Jones,DT,"$681,963",SF19
D.J. Reed,CB,"$647,842",SF19
Kendrick Bourne,WR,"$646,668",SF19
Matt Breida,RB,"$646,668",SF19
Ben Garland,C,"$645,000",SF19
Levine Toilolo,TE,"$645,000",SF19
Jullian Taylor,DT,"$594,510",SF19
Richie James,WR,"$589,142",SF19
Dre Greenlaw,LB,"$575,429",SF19
Ross Dwelley,TE,"$570,000",SF19
Nick Mullens,QB,"$570,000",SF19
Justin Skule,T,"$539,714",SF19
Jeff Wilson,RB,"$536,464",SF19
Azeez Al-Shaair,LB,"$500,000",SF19
Daniel Brunskill,G,"$495,000",SF19
Emmanuel Moseley,CB,"$495,000",SF19
Marcell Harris,S,"$435,882",SF19
Elijah Lee,OLB,"$303,528",SF19
Jeremiah Valoaga,DE,"$167,645",SF19
Jordan Matthews,WR,"$142,058",SF19
Dontae Johnson,CB,"$113,824",SF19
Antone Exum,S,"$64,500",SF19
"Kwon Alexander
(Pectoral)",ILB,"$11,531,250",SF19
"Weston Richburg
(Knee)",C,"$7,835,000",SF19
"Jerick McKinnon
(Knee-acl)",RB,"$5,750,000",SF19
"Marquise Goodwin
(Knee)",WR,"$3,968,750",SF19
"Jason Verrett
(Knee)",CB,"$2,062,500",SF19
"Shon Coleman
(Leg)",T,"$2,025,000",SF19
"Ronald Blair
(Knee-acl)",DE,"$787,602",SF19
"Trent Taylor
(Foot)",WR,"$695,484",SF19
"Jalen Hurd
(Back)",WR,"$688,653",SF19
"Kentavius Street
(Undisclosed)",DE,"$530,550",SF19
"Tim Harris
(Groin)",CB,"$417,577",SF19
"Shawn Poindexter
(Knee)",WR,"$379,666",SF19
"Andrew Lauderdale
(Undisclosed)",T,"$378,000",SF19
"Damontre Moore
(Arm)",DE,"$265,587",SF19